"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0034009",304.947168923717,0.0199000511164823,0.096568264894168,0.206072368995046,0.836734381888362,0.911375604860412
"FBgn0013750",687.161065542179,-0.000795231749374955,0.0725396087806137,-0.0109627245410163,0.991253186545351,0.994243147641081
"FBgn0034010",127.142977613224,-1.33918641981512,0.154036827957524,-8.69393662263935,3.50093021814415e-18,1.10105013137737e-16
"FBgn0034011",11.4469732650784,-0.987323166404171,0.543803540011792,-1.81558797205101,0.0694336000488899,0.162607134604044
"FBgn0034013",404.326088179012,0.419451224632216,0.0863774548996232,4.85602666945499,1.19764578372919e-06,1.11122562181258e-05
"FBgn0011660",127.139296035797,-0.0140664935037703,0.14702254643118,-0.0956757575298478,0.923778095243733,0.961232557300283
"FBgn0000996",364.323697054716,-0.440274955982039,0.0927409347702345,-4.74736379434625,2.06085080698259e-06,1.84840507564549e-05
"FBgn0026370",844.729851781797,-0.146044564300602,0.0609218000566181,-2.39724637428433,0.0165188124340399,0.0522005969261851
"FBgn0034025",218.140025185455,-0.176981503337745,0.11453205731149,-1.54525734970788,0.122284027390667,0.251527026895016
"FBgn0019968",548.967933938809,0.0972402198703882,0.0753958267503183,1.28972947259283,0.197144602821356,0.354652463584399
"FBgn0050467",52.9722452721973,0.391386363409217,0.234469565498982,1.66924164582425,0.0950694997291404,0.207598411641781
"FBgn0034027",39.4331944846693,0.517267051635298,0.272454326041504,1.89854592933313,0.0576242034631918,0.14038894639842
"FBgn0022097",295.457026032216,0.402702889988782,0.100045582414504,4.02519411921982,5.69283349498404e-05,0.000381535381375083
"FBgn0034029",145.77038828062,0.587012674754294,0.142029588279927,4.13303088365888,3.58010598129101e-05,0.000250572928266659
"FBgn0034032",69.1353927657396,0.472518145033979,0.20761052933481,2.27598352813771,0.0228469955077933,0.0680538837081257
"FBgn0024754",438.023966716449,0.0585156845621235,0.0854421428769042,0.68485740867275,0.493433904594082,0.667311488621743
"FBgn0013762",91.0603165193418,0.0089732648733052,0.175465090263345,0.0511398869133328,0.959214052398469,0.978444363714638
"FBgn0050466",25.360746496772,0.468255414215211,0.349756588329432,1.33880369902901,0.180634586278925,0.332567224864771
"FBgn0034033",31.6681567641264,0.138125415508154,0.310574811124477,0.44474120424658,0.656506788584161,0.794126177000321
"FBgn0260429",23.9703379216888,-1.54078088967955,0.372869172339072,-4.13222922134852,3.59261876912702e-05,0.000251206692566967
"FBgn0023441",10.6690017826988,-0.628829621030721,0.500537084921283,-1.25630975201291,0.20900368757229,0.369893249747304
"FBgn0034035",131.982993399097,0.117037195889791,0.14496389953516,0.807354081016598,0.419462514358529,0.601182711938196
"FBgn0010426",148.885039494074,0.0582392642277611,0.140483784238376,0.414562182699602,0.678462437222987,0.809227386837817
"FBgn0053139",291.066131829041,-0.172337182094914,0.111033165252894,-1.55212347321983,0.120632682431164,0.249259510199774
"FBgn0034037",12.2338901942712,0.436759319565649,0.483492463009488,0.903342560599705,0.366344114776791,0.551424813361602
"FBgn0050090",125.671863080873,0.205930977569253,0.149517021887261,1.37730791430911,0.16841706937874,0.316244509960338
"FBgn0053460",561.707060838278,-0.0522262316337006,0.0730785458109773,-0.714658879074952,0.474819852828694,0.649635825009503
"FBgn0053461",11.779184621888,1.08002512034271,0.497972563936056,2.16884462831851,0.0300944817516713,0.0847427945449195
"FBgn0050089",101.078019543056,-0.0596524779401699,0.169331368651293,-0.35228250037365,0.724626410714537,0.838281986280431
"FBgn0083919",796.779642194977,-0.277475661362604,0.0644339298619886,-4.30635942828461,1.65963312178629e-05,0.000125858399058219
"FBgn0053465",87.4291392711643,0.0334443960462903,0.18550409670502,0.180289258514177,0.856925487965906,0.923872887640441
"FBgn0034046",279.547751327188,-0.113564531978626,0.101743956745442,-1.11617962984042,0.264345252074017,0.437563968174467
"FBgn0022160",311.351113030108,-1.14736207272163,0.0998080648986761,-11.4956849818341,1.38676549821234e-30,8.9157976500112e-29
"FBgn0050085",634.792652632146,-0.355815002343887,0.0703895779221907,-5.05493871176793,4.30529002912534e-07,4.27294153846934e-06
"FBgn0053464",287.050105331638,-0.541709722142306,0.100543449837742,-5.38781713792917,7.13185585883159e-08,7.95897585474831e-07
"FBgn0003425",989.370237685728,-0.0909233073307014,0.0588867053469181,-1.54403794192673,0.12257914122262,0.252062683550053
"FBgn0034049",832.262279683901,-0.0820772620826389,0.065717288086047,-1.24894475218105,0.211685281707543,0.373443311595714
"FBgn0015247",441.549291047535,0.0287597946045437,0.0815449082015933,0.352686577725301,0.724323422990372,0.838280006891934
"FBgn0034050",211.950223102214,0.254423616923321,0.11503131618496,2.21177697831633,0.0269820785661212,0.0775721411883144
