"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","direction"
"FBgn0030480",78.2498382373128,1.00217278339996,0.19205753727777,5.21808619231919,1.80781338753824e-07,1.89794281220597e-06,"Tim9a","Up"
"FBgn0261284",15.2442624349773,2.83855892084244,0.549165802614916,5.16885593991161,2.35531359285358e-07,2.44797614478988e-06,"bou","Up"
"FBgn0050463",15.6604337711978,2.752620572421,0.5332262605107,5.16219994451259,2.44064394825084e-07,2.53303975486319e-06,"CG30463","Up"
"FBgn0037153",28.7050033535216,1.73760131422896,0.337670396757949,5.14585030524461,2.66311730476544e-07,2.7443329388824e-06,"olf413","Up"
"FBgn0022702",61.9107089630421,1.15957931825661,0.226763548305483,5.11360545785112,3.16067168132642e-07,3.21600556930483e-06,"Cht2","Up"
"FBgn0259740",31.1993322732145,1.68232380262054,0.329777166078116,5.10139565642953,3.37157887043379e-07,3.39729826542323e-06,"CG42394","Up"
"FBgn0039969",196.716271046698,1.04174116102325,0.205261170301116,5.07519838990993,3.87091911537914e-07,3.86294332049855e-06,"Fis1","Up"
"FBgn0032805",66.7537244126275,1.0441605041785,0.206790612130123,5.04936125205462,4.43289761122094e-07,4.38760233590192e-06,"CG10337","Up"
"FBgn0038198",16.481416062012,2.56415703834944,0.5078791065139,5.04875472422936,4.44699242223823e-07,4.39556461871575e-06,"Npc2b","Up"
"FBgn0031268",38.693905088854,1.41245646656955,0.280430574459616,5.03674205029649,4.73522213715891e-07,4.6551270401163e-06,"CG2813","Up"
"FBgn0033495",22.4326410824641,-1.85676032424712,0.382130592419784,-4.85896801009694,1.17999195605027e-06,1.09764936756789e-05,"CG12214","Down"
"FBgn0033775",17.9990105767127,2.17740429029635,0.45596598351964,4.77536563909611,1.79381026615752e-06,1.63308666461583e-05,"Cyp9h1","Up"
"FBgn0031703",26.0075267730019,-1.70411492418788,0.357923323371318,-4.76111729220839,1.92524108447226e-06,1.74835955983637e-05,"CG12512","Down"
"FBgn0024288",11.8268526724766,-5.15120144864778,1.08822425434723,-4.7335844869013,2.20589080253351e-06,1.9663554209087e-05,"Sox100B","Down"
"FBgn0000567",54.6746284641705,-1.10273887696693,0.235489374110911,-4.68275429042313,2.8304572193392e-06,2.48348692010861e-05,"Eip74EF","Down"
"FBgn0085736",11.7041228065294,3.1442257720868,0.676159816226035,4.65012219986127,3.31738411825898e-06,2.85893186466803e-05,"CG40472","Up"
"FBgn0000535",49.8833339955992,-1.12867736156497,0.244291754883976,-4.62020243827314,3.83365802413838e-06,3.27665006416063e-05,"eag","Down"
"FBgn0039479",39.624258125169,1.30461013061345,0.282764976615956,4.61376138667037,3.95446392758107e-06,3.36013806244169e-05,"CG14257","Up"
"FBgn0035344",22.6920906270964,-1.74794071708246,0.378998343738708,-4.61200093868363,3.98811193461634e-06,3.38477023422754e-05,"Cyp4d20","Down"
"FBgn0031245",55.5762399983976,1.05905358733737,0.231365400582303,4.57740692718935,4.70775133529147e-06,3.9403010888125e-05,"CG3625","Up"
"FBgn0037646",12.0013720445624,-2.70878862963979,0.598730864186696,-4.52421746007591,6.06193727593547e-06,4.99886201017834e-05,"CG11967","Down"
